"funding_total_usd ";"name";"market ";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"1673537";"SkyWire";"App Marketing ";1;2005-11-11 00:00:00;2014-03-12 00:00:00;0
"25456000";"Skyword";"Semantic Search ";5;2010-12-20 00:00:00;2011-03-04 00:00:00;0
"1800000";"SL Pathology Leasing of Texas";"Biotechnology ";1;2009-01-01 00:00:00;2010-02-11 00:00:00;0
"50000";"SL8Z | CrowdSourced Recruiting";"Recruiting ";2;2013-01-01 00:00:00;2013-10-21 00:00:00;0
"179950000";"Slack";"Enterprise Software ";6;2009-01-01 00:00:00;2009-01-01 00:00:00;0
"75663277";"Slacker";"Music ";6;2006-01-01 00:00:00;2007-06-01 00:00:00;0
"250000";"SlamData";"Data Centers ";1;2014-01-15 00:00:00;2014-09-11 00:00:00;0
"1350";"Slantpoint Media Group LLC";"News ";1;2014-04-24 00:00:00;2014-06-30 00:00:00;0
"4777000";"Slate Pharmaceuticals";"Biotechnology ";2;2007-01-01 00:00:00;2010-01-29 00:00:00;0
"1100000";"Slate Science";"Education ";1;2011-01-01 00:00:00;2013-03-06 00:00:00;0
"30000";"SLEDVision";"Software ";1;2012-01-01 00:00:00;2012-10-03 00:00:00;0
"20000";"Sleek Africa Magazine";"News ";1;2005-04-08 00:00:00;2013-10-08 00:00:00;0
"1045984";"Sleep HealthCenters";"Health Care ";1;1997-01-01 00:00:00;2012-03-25 00:00:00;0
"15000";"Sleep.FM";"Hardware + Software ";1;2006-11-01 00:00:00;2008-09-30 00:00:00;0
"1000000";"SLI Systems";"Curated Web ";1;2001-08-01 00:00:00;2007-12-11 00:00:00;0
"20000";"SLIC games";"Games ";2;2012-01-01 00:00:00;2012-10-01 00:00:00;0
"38025999";"Slice";"Curated Web ";4;2010-01-01 00:00:00;2010-05-12 00:00:00;0
"150000";"Slicebooks";"EBooks ";1;2011-01-01 00:00:00;2013-07-31 00:00:00;0
"2000000";"Sliced Investing";"Financial Services ";1;2014-01-01 00:00:00;2014-11-17 00:00:00;0
"15000000";"sliceX";"Enterprise Software ";1;1996-01-01 00:00:00;2008-08-08 00:00:00;0
"78000000";"Slide";"Photography ";4;2005-08-01 00:00:00;2005-01-01 00:00:00;0
"780000";"SlideBatch";"Software ";2;2011-01-01 00:00:00;2011-01-01 00:00:00;0
"200000";"Slidebean";"SaaS ";4;2013-06-01 00:00:00;2013-11-18 00:00:00;0
"2750000";"Slime Sandwich";"Games ";2;2009-01-01 00:00:00;2009-10-01 00:00:00;1
"14500000";"Sling Media";"Hardware + Software ";2;2004-01-01 00:00:00;2004-11-01 00:00:00;0
"1200000";"Slingjot";"Apps ";2;2011-03-11 00:00:00;2011-03-11 00:00:00;0
"455000";"Slingr";"Social Network Media ";1;2011-01-01 00:00:00;2014-09-30 00:00:00;0
"250000";"Slinky";"Search ";1;2010-12-10 00:00:00;2012-07-05 00:00:00;0
"20000";"Slipstream";"Curated Web ";1;2010-06-01 00:00:00;2010-08-31 00:00:00;1
"40000";"SLM Technologies";"News ";1;2012-06-01 00:00:00;2014-06-20 00:00:00;0
"4000";"SLMT";"Software ";1;2014-10-15 00:00:00;2014-10-18 00:00:00;0
"125000";"SMA Informatics";"Health Care ";1;2001-01-01 00:00:00;2001-01-01 00:00:00;0
"43100000";"Smaato";"Advertising ";5;2005-08-18 00:00:00;2008-01-01 00:00:00;0
"70000";"Smailex";"Logistics ";1;2011-05-05 00:00:00;2012-01-01 00:00:00;0
"244000000";"Small Bone Innovations";"Health Care ";6;2009-05-01 00:00:00;2008-01-01 00:00:00;0
"1000000";"Small World Labs";"Communities ";1;2005-06-01 00:00:00;2008-03-19 00:00:00;0
"3000000";"Smallaa";"Social Media ";1;2008-01-01 00:00:00;2008-03-01 00:00:00;1
"4000000";"Smalltown";"Advertising ";1;2005-01-15 00:00:00;2005-11-01 00:00:00;1
"150000";"Smarp";"Curated Web ";1;2010-10-10 00:00:00;2010-10-01 00:00:00;0
"13000000";"Smart Destinations";"Travel ";3;2003-01-01 00:00:00;2008-12-23 00:00:00;0
"625100";"Smart Energy";"Clean Technology ";2;2009-01-01 00:00:00;2009-11-03 00:00:00;0
"8660000";"Smart Furniture";"Home & Garden ";6;2001-01-01 00:00:00;2004-08-27 00:00:00;0
