"funding_total_usd ";"name";"market ";"status";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"82200";"Makesmith Accessible Technology";"Consumer Electronics ";"operating";1;2014-01-01 00:00:00;2014-06-09 00:00:00;0
"10100000";"MakeSpace";"Commercial Real Estate ";"operating";2;2013-01-01 00:00:00;2013-09-26 00:00:00;0
"10000";"MakInnovations";"Hardware + Software ";"operating";1;2010-01-01 00:00:00;2012-02-21 00:00:00;0
"70100000";"MAKO Surgical";"Medical Devices ";"acquired";3;2004-01-01 00:00:00;2007-02-06 00:00:00;0
"1668447";"MakuCell";"Biotechnology ";"closed";1;2010-01-01 00:00:00;2012-10-09 00:00:00;1
"13055000";"Malauzai Software";"Software ";"operating";4;2009-01-01 00:00:00;2011-02-28 00:00:00;0
"4575400";"Malcovery Security";"Security ";"operating";2;2012-01-01 00:00:00;2013-02-21 00:00:00;0
"8749995";"Malhar";"Enterprise Software ";"operating";2;2012-01-01 00:00:00;2012-05-29 00:00:00;0
"30000000";"Malwarebytes";"Software ";"operating";1;2008-01-01 00:00:00;2014-07-10 00:00:00;0
"2100000";"MamaBear App";"Tracking ";"operating";2;2012-08-01 00:00:00;2012-02-24 00:00:00;0
"4600000";"Mamapedia";"Social Media ";"operating";1;2004-01-01 00:00:00;2005-12-01 00:00:00;0
"1650000";"Managed by Q";"Bridging Online and Offline ";"operating";1;2013-12-01 00:00:00;2014-08-11 00:00:00;0
"4362916";"Managed Methods";"Software ";"operating";3;2007-01-01 00:00:00;2012-08-23 00:00:00;0
"7000000";"Managed Objects";"Software ";"acquired";1;1997-01-01 00:00:00;2006-09-18 00:00:00;0
"3000000";"Managed Systems";"Consulting ";"operating";1;2003-01-01 00:00:00;2007-05-16 00:00:00;0
"5400000";"ManageIQ";"Cloud Management ";"acquired";3;2006-04-28 00:00:00;2009-08-06 00:00:00;0
"70000000";"Mandiant";"Security ";"acquired";1;2004-01-01 00:00:00;2011-07-22 00:00:00;0
"700000";"Mandoyo";"Professional Services ";"operating";2;2013-01-01 00:00:00;2013-07-10 00:00:00;0
"1322411";"Mangia";"Mobile ";"closed";2;2008-01-01 00:00:00;2009-03-10 00:00:00;1
"8300000";"Mango Health";"Mobile ";"operating";3;2012-02-01 00:00:00;2012-07-31 00:00:00;0
"20000";"Mango Reservations";"Software ";"closed";1;2010-01-01 00:00:00;2010-03-01 00:00:00;1
"6000000";"Mango-Mate";"Hardware + Software ";"operating";1;1997-01-01 00:00:00;2007-02-27 00:00:00;0
"300000";"mangofizz jobs";"Career Management ";"closed";1;2007-01-01 00:00:00;2007-01-01 00:00:00;1
"13000000";"Mangrove Systems";"Web Hosting ";"operating";1;2002-01-01 00:00:00;2006-08-11 00:00:00;0
"3999999";"Mangstor";"Web Hosting ";"operating";1;2011-01-01 00:00:00;2013-07-05 00:00:00;0
"3700000";"Manhattan Labs";"Health and Wellness ";"operating";1;2008-01-01 00:00:00;2013-01-22 00:00:00;0
